título_2018;links_2018;autores_e_universidades_2018;code_area;area;id_doc
APPROPRIATION, BELIEFS, AND INCULCATION: SOME OTHER CONNECTIONS BETWEEN AMERICAN PRAGMATISM AND VEBLEN’S CONSPICUOUS CONSUMER;https://www.anpec.org.br/encontro/2018/submissao/files_I/i1-eb4e09100dfc5c08717588472898ffe9.pdf;MANUEL RAMON SOUZA LUZ (UFABC) - FELIPE ALMEIDA  (UFPR);i1;Área 1 - História do Pensamento Econômico e Metodologia;doc1
ECONOMICS, KNOWLEDGE, AND IGNORANCE: THE CASE OF F.A. HAYEK AND T.W. HUTCHISON.;https://www.anpec.org.br/encontro/2018/submissao/files_I/i1-d5615134d91cee30f275b492ec0ef66a.pdf;KEANU TELLES (UnB);i1;Área 1 - História do Pensamento Econômico e Metodologia;doc2
EDMOND MALINVAUD'S CRITICISMS OF NEW CLASSICAL ECONOMICS: RESTORING THE RATIONALE OF THE OLD KEYNESIANS' STANCE;https://www.anpec.org.br/encontro/2018/submissao/files_I/i1-d1695ae4148a95f0d7b73e357722966d.pdf;MATTHIEU RENAULT (USP);i1;Área 1 - História do Pensamento Econômico e Metodologia;doc3
FORMAÇÃO DO PENSAMENTO BRASILEIRO MODERNO SOBRE A INFLAÇÃO: DA SEGUNDA GUERRA MUNDIAL À CRISE CAMBIAL (1939 – 1947);https://www.anpec.org.br/encontro/2018/submissao/files_I/i1-93e1a13239d822ab0ceff2727f5d1081.pdf;PATRICK FONTAINE REIS DE ARAUJO (UFRJ/IE);i1;Área 1 - História do Pensamento Econômico e Metodologia;doc4
MILL – LIKE FATHER LIKE SON: MISUNDERSTANDINGS AND REVISIONS OF CLASSICAL TRADE THEORY;https://www.anpec.org.br/encontro/2018/submissao/files_I/i1-64d0129a6accbafa50e33628071d49c1.pdf;PEDRO SIQUEIRA MACHADO (THE OPEN UNIVERSITY);i1;Área 1 - História do Pensamento Econômico e Metodologia;doc5
ON THE TRANSMISSION OF KEYNES' AND KEYNESIAN IDEAS IN BRAZIL THROUGH EUGÊNIO GUDIN'S PRINCIPLES OF MONETARY ECONOMICS;https://www.anpec.org.br/encontro/2018/submissao/files_I/i1-0122c62676acfcaf643bc2cd74ba1495.pdf;MARCO ANTONIO RIBAS CAVALIERI (UFPR) - VICTOR CRUZ E SILVA (UFPR) - MARCELO LUIZ CURADO (UFPR);i1;Área 1 - História do Pensamento Econômico e Metodologia;doc6
THE BRAZILIAN CONNECTION IN MILTON FRIEDMAN'S 1967 PRESIDENTIAL ADDRESS AND 1976 NOBEL LECTURE;https://www.anpec.org.br/encontro/2018/submissao/files_I/i1-2761f9246843b7990b16c362b15b0ca0.pdf;MAURO BOIANOVSKY (UnB);i1;Área 1 - História do Pensamento Econômico e Metodologia;doc7
THE DRESS REHEARSAL: A INSTITUIÇÃO DE UM BANCO CENTRAL NO BRASIL EM 1923;https://www.anpec.org.br/encontro/2018/submissao/files_I/i1-d8ab4303500ee1e396ddcfcc47311d9c.pdf;LÚCIA REGINA CENTURIÃO (USP/FEA);i1;Área 1 - História do Pensamento Econômico e Metodologia;doc8
THE FOUNDATION AND EARLY YEARS OF THE ASSOCIATION FOR EVOLUTIONARY ECONOMICS AND ALLAN GRUCHY’S INSTITUTIONALISM;https://www.anpec.org.br/encontro/2018/submissao/files_I/i1-7b0e6a4c6a1906c9c21e313b3f692d83.pdf;FELIPE ALMEIDA (UFPR);i1;Área 1 - História do Pensamento Econômico e Metodologia;doc9
THE REPRESENTATIVE AGENT IN MICROECONOMICS: A SAMUELSON-KOOPMANS THREAD?;https://www.anpec.org.br/encontro/2018/submissao/files_I/i1-657648efb40693a5daef5f28cb97b8c8.pdf;HUGO CHU (USP/FEA);i1;Área 1 - História do Pensamento Econômico e Metodologia;doc10
UTILITY MATTERS: EDMOND MALINVAUD AND GROWTH THEORY IN THE 1950S AND 1960S;https://www.anpec.org.br/encontro/2018/submissao/files_I/i1-ff0152605af6f9039191af46e3326d24.docx;MATHEUS ASSAF (USP/IPE) - PEDRO GARCIA DUARTE (USP);i1;Área 1 - História do Pensamento Econômico e Metodologia;doc11
A ATUALIDADE DE MARX PARA A COMPREENSÃO DO DINHEIRO NO CAPITALISMO  CONTEMPORÂNEO: NOTAS PARA UM DEBATE;https://www.anpec.org.br/encontro/2018/submissao/files_I/i2-a7ecc2aa244436da14525ab0dc06de88.pdf;RENAN FERREIRA DE ARAUJO (UNICAMP/IE) - ALEX WILHANS ANTONIO PALLUDETO (UNICAMP/IE);i2;Área 2 - Economia Política;doc12
CHINA: CAPITAL FLIGHT OR RENMINBI INTERNATIONALIZATION?;https://www.anpec.org.br/encontro/2018/submissao/files_I/i2-7192422299b9f92a4a66d9f36a4cdaaf.pdf;BRUNO DE CONTI (UNICAMP/IE) - BRUNO DE CONTI (UNICAMP) - PAULO VAN NOIJE (UNICAMP) - MARINA ZUCKER MARQUES (FUB);i2;Área 2 - Economia Política;doc13
